#offset position in file, kind, identifier, suggested
# /usr/local/go/src/runtime/mprof.go:#2757,func,newBucket,newBucket
# /usr/local/go/src/runtime/mprof.go:#3262,func,stk,stk
# /usr/local/go/src/runtime/mprof.go:#3469,func,mp,mp
# /usr/local/go/src/runtime/mprof.go:#3754,func,bp,bp
# /usr/local/go/src/runtime/mprof.go:#4031,func,stkbucket,stkbucket
# /usr/local/go/src/runtime/mprof.go:#4973,func,sysAlloc,sysAlloc
 /usr/local/go/src/runtime/mprof.go:#5028,func,eqslice,eqSlice
 /usr/local/go/src/runtime/mprof.go:#5186,func,mprof_GC,mProfGC
 /usr/local/go/src/runtime/mprof.go:#5746,func,mProf_GC,mProfGC
 /usr/local/go/src/runtime/mprof.go:#5863,func,mProf_Malloc,mProfMalloc
 /usr/local/go/src/runtime/mprof.go:#6419,func,setprofilebucket_m,setProfileBucketM
 /usr/local/go/src/runtime/mprof.go:#6457,func,setprofilebucket,setProfileBucket
 /usr/local/go/src/runtime/mprof.go:#6646,func,mProf_Free,mProfFree
 /usr/local/go/src/runtime/mprof.go:#7263,func,SetBlockProfileRate,SetBLockProfileRate
 /usr/local/go/src/runtime/mprof.go:#7659,func,blockevent,bLockEvent
# /usr/local/go/src/runtime/mprof.go:#8496,func,Stack,Stack
# /usr/local/go/src/runtime/mprof.go:#9836,func,InUseBytes,InUseBytes
# /usr/local/go/src/runtime/mprof.go:#10004,func,InUseObjects,InUseObjects
# /usr/local/go/src/runtime/mprof.go:#10182,func,Stack,Stack
# /usr/local/go/src/runtime/mprof.go:#10906,func,MemProfile,MemProfile
# /usr/local/go/src/runtime/mprof.go:#11896,func,record,record
 /usr/local/go/src/runtime/mprof.go:#12198,func,iterate_memprof,iterateMemProf
 /usr/local/go/src/runtime/mprof.go:#13024,func,BlockProfile,BLockProfile
 /usr/local/go/src/runtime/mprof.go:#13828,func,ThreadCreateProfile,ThReadCreateProfile
# /usr/local/go/src/runtime/mprof.go:#14577,func,GoroutineProfile,GoroutineProfile
# /usr/local/go/src/runtime/mprof.go:#15224,func,saveg,saveg
# /usr/local/go/src/runtime/mprof.go:#15644,func,Stack,Stack
 /usr/local/go/src/runtime/mprof.go:#16274,func,tracealloc,traceAlloc
 /usr/local/go/src/runtime/mprof.go:#16880,func,tracefree,traceFree
 /usr/local/go/src/runtime/mprof.go:#17229,func,tracegc,traceGc
 /usr/local/go/src/runtime/netpoll.go:#3206,func,netpollServerInit,netPollServerInit
 /usr/local/go/src/runtime/netpoll.go:#3254,func,netpollOpen,netPollOpen
 /usr/local/go/src/runtime/netpoll.go:#3736,func,netpollClose,netPollClose
# /usr/local/go/src/runtime/netpoll.go:#4128,func,free,free
 /usr/local/go/src/runtime/netpoll.go:#4222,func,netpollReset,netPollReset
 /usr/local/go/src/runtime/netpoll.go:#4425,func,netpollWait,netPollWait
 /usr/local/go/src/runtime/netpoll.go:#4967,func,netpollWaitCanceled,netPollWaitCanceled
 /usr/local/go/src/runtime/netpoll.go:#5223,func,netpollSetDeadline,netPollSetDeadline
 /usr/local/go/src/runtime/netpoll.go:#6722,func,netpollUnblock,netPollUnbLock
 /usr/local/go/src/runtime/netpoll.go:#7286,func,netpollfd,netPollFd
 /usr/local/go/src/runtime/netpoll.go:#7342,func,netpolluser,netPollUser
 /usr/local/go/src/runtime/netpoll.go:#7411,func,netpollclosing,netPollClosing
 /usr/local/go/src/runtime/netpoll.go:#7474,func,netpolllock,netPollLock
 /usr/local/go/src/runtime/netpoll.go:#7526,func,netpollunlock,netPollUnlock
 /usr/local/go/src/runtime/netpoll.go:#7657,func,netpollready,netPollReady
 /usr/local/go/src/runtime/netpoll.go:#7990,func,netpollcheckerr,netPollCheckerr
 /usr/local/go/src/runtime/netpoll.go:#8192,func,netpollblockcommit,netPollBLockCommit
 /usr/local/go/src/runtime/netpoll.go:#8443,func,netpollblock,netPollBLock
 /usr/local/go/src/runtime/netpoll.go:#9330,func,netpollunblock,netPollUnbLock
